City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,motygino,58.1831,94.7592,265.03,92,99,1.66,RU,1711593595
149,zermatt,46.0213,7.7491,269.92,86,46,4.45,CH,1711593595
150,maitum,6.0392,124.4986,303.78,67,93,2.93,PH,1711593595
151,san antonio de pale,-1.4014,5.6325,301.64,79,93,1.09,GQ,1711593595
152,maintirano,-18.0667,44.0167,298.58,86,74,2.78,MG,1711593595
153,kavaratti,10.5669,72.642,300.91,73,85,3.04,IN,1711593596
154,omaruru,-21.4333,15.9333,292.96,75,100,1.69,NA,1711593596
155,bridlington,54.0831,-0.1919,281.49,90,33,5.36,GB,1711593596
156,fereydunshahr,32.941,50.121,273.29,87,63,1.78,IR,1711593596
157,kruisfontein,-34.0033,24.7314,291.97,95,91,1.86,ZA,1711593596
158,queenstown,-31.8976,26.8753,288.19,91,78,0.09,ZA,1711593596
159,sosnogorsk,63.6023,53.8817,262.89,97,100,2.24,RU,1711593596
160,tyre,33.2733,35.1939,293.26,55,0,3.23,LB,1711593596
161,bengkulu,-3.8004,102.2655,299.94,78,96,1.24,ID,1711593596
162,barra de santo antonio,-9.4047,-35.5072,298.75,82,100,1.37,BR,1711593597
163,imbituba,-28.24,-48.6703,293.84,88,1,4.28,BR,1711593597
164,alausi,-2.2,-78.8333,282.16,84,51,0.96,EC,1711593597
165,invercargill,-46.4,168.35,282.6,83,87,7.15,NZ,1711593597
166,srikakulam,18.3,83.9,302.93,60,2,3.08,IN,1711593597
167,atlantic beach,30.3344,-81.3987,294.83,87,75,2.06,US,1711593597
168,navoiy,40.0844,65.3792,280.86,81,99,8.23,UZ,1711593597
169,boende,-0.2167,20.8667,295.87,95,100,1.12,CD,1711593597
170,whitehorse,60.7161,-135.0538,279.58,61,75,2.06,CA,1711593331
171,kapuskasing,49.4169,-82.4331,271.2,69,100,7.2,CA,1711593598
172,kristiansund,63.1115,7.732,277.51,75,75,2.06,NO,1711593598
173,bayganin,48.6947,55.8742,273.58,97,100,7.82,KZ,1711593598
174,ziro,27.6333,93.8333,284.56,59,62,0.38,IN,1711593598
175,bel ombre,-4.6167,55.4167,299.06,89,20,0.51,SC,1711593598
176,ta`u,-14.2336,-169.5144,301.76,74,100,2.62,AS,1711593598
177,smara,26.7384,-11.6719,286.45,67,0,2.54,EH,1711593598
178,usinsk,65.9939,57.5281,258.75,91,100,4.92,RU,1711593598
179,miandrivazo,-19.5167,45.4667,297.67,74,86,1.4,MG,1711593598
180,chagoda,59.164,35.3285,272.36,97,99,1.25,RU,1711593599
181,lycksele,64.5954,18.6735,274.08,100,100,2.57,SE,1711593599
182,enshi,30.3,109.4833,293.78,61,0,0.42,CN,1711593557
183,anadyr,64.75,177.4833,257.43,85,75,4.0,RU,1711593599
184,rancharia,-22.2292,-50.8931,292.82,97,100,3.16,BR,1711593599
185,kudahuvadhoo,2.6708,72.8944,302.24,72,52,4.01,MV,1711593599
186,san rafael del sur,11.8485,-86.4384,302.69,82,14,2.58,NI,1711593599
187,isafjordur,66.0755,-23.124,268.1,74,70,2.68,IS,1711593599
188,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,72,0,3.0,RU,1711593600
189,cadale,2.7603,46.3222,301.37,79,8,6.38,SO,1711593600
190,carnarvon,-24.8667,113.6333,303.81,32,0,3.06,AU,1711593600
191,puerto carreno,6.189,-67.4859,304.54,39,13,2.08,CO,1711593329
192,kimbe,-5.5502,150.1429,303.82,72,87,2.36,PG,1711593600
193,holualoa,19.6228,-155.9522,297.9,83,100,2.06,US,1711593600
194,brigantine,39.4101,-74.3646,280.48,95,100,2.06,US,1711593316
